order_item_id,order_id,product_id,quantity
188,76,6,3
189,77,21,2
190,77,1,1
191,78,25,4
192,78,13,4
193,78,12,5
194,79,17,1
195,79,1,1
196,80,24,5
197,80,27,3
198,80,18,3
199,81,8,4
200,81,20,4
201,81,7,5
202,82,9,2
203,83,17,5
204,83,4,3
205,83,18,3
206,83,3,1
207,84,29,5
208,84,18,3
209,84,27,4
210,85,19,3
211,85,16,4
212,85,25,4
213,85,8,5
214,86,16,1
215,87,3,2
216,87,13,2
217,87,21,3
218,88,12,3
219,88,17,2
220,88,18,3
221,88,1,1
222,89,22,1
223,89,24,5
224,89,27,2
225,89,11,4
226,90,12,5
227,90,7,3
228,90,29,2
229,91,16,2
230,91,24,2
231,92,28,2
232,92,9,2
233,93,27,5
234,93,8,3
235,94,25,1
236,94,4,1
237,95,20,5
238,95,1,1
239,95,25,4
240,95,28,3
241,96,16,3
242,96,29,4
243,96,19,2
244,97,13,5
245,97,8,2
246,97,25,1
247,98,16,3
248,98,18,4
249,98,2,2
250,98,17,4
251,99,23,5
252,100,11,2
253,100,23,4
254,100,1,5
255,100,22,1
256,101,12,3
257,101,20,2
258,101,28,5
259,102,8,5
260,102,9,3
261,102,16,3
262,103,16,2
263,103,14,4
264,104,12,3
265,104,28,4
266,104,13,2
267,105,19,2
268,105,22,1
269,106,26,4
270,106,8,4
271,106,18,2
272,107,26,2
273,107,24,4
274,108,6,4
275,109,5,5
276,109,29,5
277,109,28,3
278,109,21,4
279,110,9,5
280,110,18,1
281,110,28,4
282,111,23,2
283,112,7,3
284,113,27,3
285,113,21,3
286,113,4,3
287,113,15,3
288,114,12,1
289,114,1,3
290,114,14,5
291,115,19,5
292,115,21,2
293,116,12,5
294,116,11,4
295,116,22,4
296,117,13,5
297,118,15,2
298,118,21,3
299,118,5,4
300,119,28,3
301,119,30,2
302,119,3,3
303,119,6,3
304,120,23,4
305,120,9,3
306,120,20,4
307,121,24,4
308,121,19,4
309,121,17,2
310,122,28,2
311,122,1,2
312,123,24,2
313,123,23,2
314,123,3,4
315,124,4,1
316,125,18,4
317,125,2,5
318,125,1,1
319,125,25,1
320,126,20,4
321,126,5,3
322,126,3,2
323,127,24,4
324,127,10,2
325,128,17,2
326,128,27,1
327,129,22,3
328,130,28,5
329,130,16,3
330,130,15,5
331,131,5,5
332,131,23,5
333,131,18,4
334,131,6,5
335,132,17,3
336,132,21,4
337,132,18,5
338,132,10,2
339,133,15,3
340,134,14,3
341,134,9,1
342,134,5,1
343,135,12,4
344,135,10,5
345,136,23,4
346,137,10,3
347,137,1,5
348,137,25,2
349,137,14,1
350,138,7,5
351,138,14,4
352,138,29,4
353,139,6,4
354,139,23,4
355,140,9,4
356,140,3,2
357,141,10,5
358,141,21,3
359,141,24,4
360,142,28,2
361,142,3,2
362,143,4,5
363,143,21,4
364,143,15,3
365,144,7,1
366,144,11,5
367,144,1,1
368,144,5,2
369,145,10,3
370,146,23,1
371,146,15,2
372,147,5,1
373,148,7,4
374,148,11,3
375,148,14,4
376,148,10,1
377,149,3,2
378,149,27,1
379,149,25,3
380,150,3,2
381,150,18,3
382,150,16,4
383,150,6,1
384,151,25,2
385,152,25,1
386,152,15,2
387,152,8,4
388,152,24,1
389,153,16,3
390,153,13,3
391,154,21,1
392,154,24,5
393,155,9,4
394,156,7,1
395,156,12,2
396,156,29,1
397,157,21,3
398,157,14,1
399,158,26,5
400,158,9,1
401,159,26,5
402,159,8,4
403,159,1,5
404,159,2,2
405,160,25,2
406,160,3,4
407,160,8,1
408,161,30,1
409,161,25,1
410,161,21,3
411,162,23,1
412,162,18,2
413,163,8,3
414,163,11,4
415,163,18,2
416,163,26,1
417,164,12,1
418,164,24,4
419,164,5,4
420,164,9,5
421,165,18,2
422,165,23,5
423,165,16,2
424,166,11,3
425,166,24,5
426,166,15,5
427,167,3,2
428,167,17,4
429,168,27,3
430,168,9,4
431,168,18,1
432,169,24,5
433,169,6,3
434,169,29,5
435,169,1,2
436,170,24,5
437,170,3,4
438,170,22,2
439,171,25,3
440,171,18,3
441,171,5,4
442,171,20,3
443,172,4,5
444,173,2,2
445,174,28,2
446,174,2,1
447,175,7,4
448,175,4,4
449,175,2,5
450,175,19,5
451,176,2,5
452,176,12,1
453,176,8,1
454,177,21,1
455,177,16,4
456,178,12,5
457,179,27,1
458,179,12,5
459,179,26,3
460,179,23,5
461,180,24,1
462,181,3,1
463,181,7,1
464,181,17,2
465,182,7,5
466,182,17,2
467,182,22,5
468,182,8,5
469,183,24,5
470,183,4,3
471,183,25,4
472,183,21,4
473,184,6,2
474,185,17,5
475,185,11,5
476,185,22,4
477,185,6,3
478,186,18,3
479,186,11,4
480,186,28,4
481,187,20,5
482,187,8,2
483,187,19,4
484,188,12,1
485,188,15,1
486,188,13,3
487,189,17,2
488,190,1,2
489,190,10,3
490,190,8,1
491,191,30,5
492,191,18,5
493,191,17,5
494,192,4,4
495,192,2,3
496,193,5,3
497,193,9,5
498,194,8,3
499,194,9,1
500,195,19,1
501,195,30,3
502,195,7,4
503,195,24,2
504,196,27,1
505,196,29,5
506,196,23,3
507,196,19,1
508,197,3,3
509,197,25,3
510,197,2,4
511,197,30,4
512,198,28,2
513,199,21,4
514,200,10,5
515,201,11,5
516,202,11,2
517,202,17,2
518,203,22,4
519,204,25,1
520,204,20,2
521,204,19,4
522,204,17,3
523,205,5,5
524,205,11,1
525,205,3,5
526,205,16,4
527,206,3,4
528,206,13,2
529,206,17,2
530,207,18,5
531,207,7,2
532,207,16,5
533,207,13,5
534,208,8,3
535,208,3,4
536,209,22,1
537,209,30,1
538,209,19,4
539,210,12,1
540,210,7,3
541,210,11,2
542,210,20,3
543,211,20,2
544,211,5,2
545,211,15,3
546,211,2,2
547,212,4,1
548,213,20,2
549,213,30,3
550,214,11,1
551,215,15,3
552,215,16,2
553,215,1,5
554,216,7,5
555,216,18,3
556,217,20,1
557,217,24,4
558,217,5,5
559,217,23,5
560,218,9,2
561,219,10,2
562,220,2,1
563,220,15,1
564,220,21,4
565,221,22,3
566,221,28,1
567,221,30,1
568,222,28,4
569,222,29,2
570,222,21,4
571,223,29,3
572,224,28,2
573,224,20,2
574,224,18,5
575,224,3,4
576,225,2,2
577,226,11,2
578,226,16,1
579,226,13,3
580,227,12,2
581,227,21,5
582,227,10,3
583,228,21,3
584,229,29,3
585,229,27,2
586,229,1,2
587,229,18,3
588,230,22,4
589,230,5,5
590,230,3,5
591,230,24,2
592,231,8,3
593,231,19,5
594,231,5,3
595,231,14,4
596,232,7,2
597,232,21,5
598,233,28,3
599,233,5,5
600,234,14,2
601,234,30,5
602,235,11,5
603,235,3,5
604,236,6,3
605,237,24,3
606,237,1,4
607,238,10,3
608,238,15,2
609,238,24,2
610,238,30,1
611,239,6,5
612,239,1,5
613,240,20,5
614,240,19,2
615,240,8,2
616,241,12,1
617,242,5,4
618,242,17,3
619,242,28,2
620,242,20,4
621,243,16,2
622,243,5,1
623,243,6,4
624,243,7,1
625,244,14,2
626,244,8,2
627,244,24,1
628,245,30,5
629,245,15,4
630,246,28,2
631,246,15,4
632,246,29,4
633,247,20,4
634,248,13,5
635,248,20,5
636,248,24,5
637,249,17,1
638,250,15,2
639,250,27,5
640,250,29,5
641,250,2,4
642,251,18,4
643,252,7,3
644,253,13,3
645,253,29,4
646,253,10,2
647,253,25,4
648,254,20,5
649,254,30,2
650,254,2,4
651,255,3,2
652,255,24,5
653,255,17,5
654,255,4,2
655,256,14,2
656,256,11,4
657,256,15,5
658,256,1,2
659,257,3,2
660,257,9,1
661,257,11,1
662,257,23,1
663,258,21,4
664,258,12,5
665,258,3,5
666,258,17,2
667,259,18,2
668,259,13,3
669,259,2,5
670,259,25,2
671,260,28,2
672,260,5,1
673,261,10,3
674,261,24,2
675,261,25,1
676,261,15,2
677,262,1,3
678,262,20,1
679,263,16,1
680,263,28,5
681,263,18,4
682,263,26,2
683,264,19,4
684,264,22,4
685,265,15,2
686,265,3,5
687,265,20,3
688,265,1,5
689,266,2,2
690,266,6,1
691,267,2,1
692,267,5,5
693,267,28,5
694,268,11,1
695,268,30,1
696,268,3,4
697,269,6,3
698,269,22,5
699,270,15,5
700,270,24,3
701,271,3,3
702,272,12,1
703,272,29,4
704,272,13,5
705,273,10,4
706,274,4,3
707,274,23,3
708,275,17,1
709,275,7,1
710,275,23,5
711,275,20,5
712,276,16,5
713,277,14,3
714,277,20,3
715,277,28,5
716,278,30,5
717,278,5,4
718,278,20,5
719,279,16,5
720,279,26,2
721,279,6,3
722,279,29,2
723,280,4,1
724,281,21,2
725,281,26,5
726,281,4,4
727,281,24,4
728,282,11,3
729,283,1,2
730,283,21,3
731,284,26,3
732,284,3,5
733,284,10,5
734,285,25,3
735,285,1,3
736,285,4,4
737,286,27,2
738,287,11,3
739,287,27,4
740,288,26,4
741,288,2,2
742,288,21,4
743,288,5,5
744,289,15,4
745,289,26,1
746,289,27,5
747,290,19,3
748,290,24,5
749,290,22,5
750,291,7,5
751,292,26,3
752,292,30,1
753,292,29,2
754,293,27,4
755,293,1,5
756,293,11,2
757,294,6,3
758,294,20,3
759,294,4,1
760,294,28,3
761,295,3,3
762,295,16,4
763,295,29,3
764,295,8,2
765,296,6,1
766,296,4,2
767,296,12,1
768,297,17,5
769,297,1,2
770,297,26,2
771,297,16,3
772,298,24,3
773,298,28,2
774,298,17,1
775,298,10,5
776,299,7,1
777,299,24,4
778,300,23,1
779,300,28,3
780,300,17,1
781,300,4,5
782,301,11,4
783,302,4,5
784,303,1,3
785,303,19,2
786,303,25,3
787,304,7,3
788,304,10,5
789,305,25,1
790,305,15,3
791,305,22,2
792,306,9,1
793,306,4,5
794,307,7,5
795,308,18,2
796,308,11,3
797,308,9,5
798,309,6,3
799,309,3,5
800,310,18,2
801,310,15,1
802,310,2,4
803,311,4,4
804,312,3,4
805,313,6,5
806,313,23,4
807,313,20,5
808,313,29,3
809,314,11,5
810,314,27,1
811,314,7,4
812,315,3,4
813,315,27,1
814,316,10,4
815,316,22,4
816,316,21,2
817,316,23,2
818,317,28,5
819,317,29,3
820,318,13,3
821,318,6,3
822,318,23,4
823,319,1,3
824,319,3,4
825,319,16,4
826,319,4,2
827,320,25,5
828,320,12,2
829,320,20,5
830,321,13,1
831,322,18,3
832,322,21,5
833,322,3,4
834,323,19,2
835,323,14,5
836,323,8,2
837,323,20,4
838,324,3,5
839,324,11,4
840,324,7,4
841,324,27,5
842,325,18,2
843,325,23,1
844,325,8,5
845,326,4,3
846,326,19,5
847,326,20,1
848,326,15,4
849,327,10,1
850,327,13,5
851,328,22,5
852,329,11,1
853,329,16,1
854,329,21,2
855,329,22,2
856,330,25,2
857,331,15,3
858,331,18,4
859,332,7,3
860,332,22,5
861,332,29,3
862,332,11,4
863,333,3,5
864,333,19,5
865,333,1,4
866,334,28,1
867,334,10,3
868,335,1,5
869,336,4,1
870,336,28,2
871,336,10,4
872,337,21,4
873,337,11,4
874,337,23,4
875,337,13,5
876,338,22,4
877,338,6,2
878,339,18,3
879,339,13,4
880,340,10,2
881,340,28,2
882,341,3,1
883,342,24,4
884,342,29,4
885,343,3,4
886,343,5,4
887,344,20,4
888,344,6,5
889,344,15,4
890,344,17,4
891,345,8,5
892,345,6,1
893,345,14,5
894,346,28,5
895,346,24,3
896,346,8,4
897,346,23,5
898,347,2,3
899,347,19,1
900,347,16,5
901,348,23,5
902,348,3,3
903,348,5,4
904,348,24,5
905,349,17,5
906,350,8,4
907,351,22,5
908,352,20,3
909,352,2,5
910,352,29,1
911,353,15,5
912,353,17,3
913,353,29,4
914,353,16,3
915,354,10,5
916,354,6,3
917,354,2,5
918,355,2,5
919,355,21,2
920,355,16,5
921,356,22,3
922,357,10,4
923,358,5,5
924,359,28,3
925,360,5,3
926,360,20,3
927,360,9,1
928,361,20,2
929,362,22,3
930,362,15,2
931,363,26,4
932,363,23,2
933,363,8,5
934,364,11,1
935,365,20,2
936,365,30,4
937,366,25,4
938,366,13,2
939,366,8,2
940,366,22,5
941,367,2,1
942,367,21,1
943,367,9,2
944,368,13,5
945,368,16,2
946,368,10,4
947,368,24,4
948,369,9,4
949,369,5,1
950,369,17,3
951,369,28,4
952,370,22,1
953,370,11,5
954,370,17,3
955,370,2,4
956,371,11,1
957,371,9,3
958,371,26,5
959,372,15,2
960,372,25,5
961,372,22,2
962,372,24,5
963,373,22,3
964,373,23,5
965,373,6,1
966,374,27,1
967,375,14,1
968,376,22,4
969,377,8,3
970,377,24,2
971,377,10,1
972,378,20,1
973,379,20,2
974,380,23,1
975,381,28,5
976,382,13,5
977,382,22,2
978,383,23,2
979,384,10,1
980,384,15,4
981,384,22,3
982,385,23,3
983,385,29,3
984,385,22,2
985,385,25,1
986,386,25,4
987,386,2,3
988,386,13,1
989,387,27,4
990,387,9,1
991,387,6,4
992,388,20,2
993,388,13,4
994,389,5,5
995,390,7,4
996,390,20,3
997,390,21,1
998,390,4,1
999,391,3,5
1000,392,25,4
1001,392,15,2
1002,392,1,1
1003,393,22,4
1004,394,5,4
1005,394,23,5
1006,394,11,1
1007,395,16,1
1008,395,14,5
1009,395,13,2
1010,395,28,1
1011,396,23,1
1012,396,27,5
1013,396,25,5
1014,396,16,3
1015,397,22,1
1016,397,10,1
1017,397,13,3
1018,398,3,3
1019,398,27,2
1020,398,15,2
1021,399,13,2
1022,400,23,1
1023,400,13,3
1024,400,29,4
1025,401,29,4
1026,402,5,2
1027,402,2,1
1028,403,16,1
1029,403,13,5
1030,404,16,4
1031,404,18,1
1032,404,27,1
1033,405,2,1
1034,405,11,4
1035,405,26,1
1036,406,26,5
1037,406,21,4
1038,407,24,2
1039,407,19,1
1040,408,24,2
1041,409,21,5
1042,409,1,1
1043,409,16,2
1044,409,30,2
1045,410,6,1
1046,411,27,4
1047,411,26,5
1048,411,4,2
1049,412,27,1
1050,413,16,5
1051,414,3,2
1052,414,26,4
1053,415,26,4
1054,415,27,3
1055,415,24,1
1056,416,11,2
1057,416,27,1
1058,417,11,1
1059,417,3,3
1060,418,25,2
1061,418,14,3
1062,419,15,5
1063,419,8,1
1064,420,4,5
1065,420,26,4
1066,421,1,4
1067,421,29,1
1068,422,1,2
1069,423,23,5
1070,424,14,4
1071,424,23,2
1072,424,26,2
1073,425,21,5
1074,425,9,4
1075,426,8,1
1076,426,6,5
1077,426,20,2
1078,426,23,4
1079,427,21,3
1080,428,14,2
1081,428,1,2
1082,428,18,1
1083,429,20,3
1084,430,15,2
1085,430,25,3
1086,431,7,1
1087,432,22,4
1088,432,28,4
1089,433,6,1
1090,433,22,1
1091,434,10,3
1092,434,7,3
1093,434,14,5
1094,435,2,5
1095,435,4,2
1096,435,24,2
1097,435,30,1
1098,436,17,2
1099,436,4,4
1100,436,3,5
1101,436,29,5
1102,437,14,3
1103,437,7,2
1104,437,24,1
1105,438,8,4
1106,438,4,2
1107,438,24,4
1108,439,3,5
1109,439,16,4
1110,440,29,4
1111,441,7,5
1112,441,30,4
1113,442,13,2
1114,442,12,4
1115,443,21,3
1116,443,12,2
1117,444,5,5
1118,444,2,1
1119,444,23,3
1120,445,4,4
1121,445,28,4
1122,446,6,3
1123,446,25,5
1124,446,11,2
1125,446,8,5
1126,447,19,2
1127,447,18,1
1128,448,28,5
1129,448,17,4
1130,448,16,4
1131,448,7,3
1132,449,24,4
1133,450,8,4
1134,450,11,5
1135,451,29,5
1136,451,30,2
1137,452,14,1
1138,453,16,5
1139,454,14,5
1140,455,16,1
1141,455,26,4
1142,455,23,4
1143,455,27,2
1144,456,18,1
1145,457,7,2
1146,457,5,1
1147,457,12,1
1148,457,10,4
1149,458,6,5
1150,458,23,5
1151,458,15,1
1152,459,15,4
1153,459,25,2
1154,459,5,3
1155,459,28,4
1156,460,28,1
1157,461,29,1
1158,461,23,3
1159,461,11,4
1160,461,17,3
1161,462,26,1
1162,462,22,5
1163,463,24,5
1164,463,30,3
1165,463,2,1
1166,464,13,3
1167,465,20,5
1168,465,2,1
1169,465,12,5
1170,465,6,2
1171,466,11,5
1172,466,8,1
1173,467,24,2
1174,467,25,2
1175,467,19,3
1176,467,28,3
1177,468,17,3
1178,468,22,1
1179,468,14,1
1180,469,12,5
1181,469,15,5
1182,469,16,1
1183,470,23,5
1184,470,18,3
1185,470,22,4
1186,470,27,5
1187,471,26,1
1188,471,22,2
1189,471,23,4
1190,472,3,4
1191,473,10,1
1192,473,3,2
1193,474,4,4
1194,474,23,2
1195,474,5,2
1196,475,10,4
1197,476,16,4
1198,476,12,4
1199,477,10,2
1200,478,1,2
1201,479,14,3
1202,479,19,4
1203,479,11,5
1204,480,15,3
1205,480,10,2
1206,480,19,3
1207,480,5,2
1208,481,12,1
1209,481,10,2
1210,481,25,3
1211,481,28,3
1212,482,6,5
1213,482,20,3
1214,482,30,2
1215,482,23,2
1216,483,6,1
1217,483,8,1
1218,484,19,3
1219,484,5,3
1220,484,15,2
1221,485,18,1
1222,485,23,3
1223,486,5,5
1224,486,12,2
1225,486,15,5
1226,487,4,4
1227,487,30,4
1228,487,1,2
1229,488,30,5
1230,488,11,5
1231,488,5,3
1232,488,1,3
1233,489,29,2
1234,489,10,5
1235,489,25,4
1236,489,19,3
1237,490,24,4
1238,491,5,5
1239,492,10,1
1240,493,20,3
1241,493,27,1
1242,493,8,3
1243,493,15,1
1244,494,19,2
1245,494,17,3
1246,495,1,5
1247,495,3,4
1248,496,17,4
1249,497,16,5
1250,497,11,5
1251,498,30,3
1252,499,5,3
1253,499,23,4
1254,499,28,3
1255,499,14,1
1256,500,12,5
1257,500,10,1
1258,500,15,2
1259,501,24,3
1260,501,14,2
1261,501,26,4
1262,501,15,4
1263,502,27,5
1264,502,19,1
1265,503,7,4
1266,503,10,5
1267,504,3,4
1268,504,30,1
1269,504,19,1
1270,505,21,2
1271,505,30,5
1272,505,9,4
1273,505,14,5
1274,506,7,4
1275,506,6,3
1276,507,2,3
1277,507,27,4
1278,507,10,5
1279,507,19,4
1280,508,1,1
1281,508,26,2
1282,509,10,4
1283,509,21,1
1284,509,27,3
1285,510,6,2
1286,510,16,1
1287,510,30,1
1288,510,23,3
1289,511,3,5
1290,511,20,4
1291,511,24,5
1292,511,12,4
1293,512,21,1
1294,512,22,3
1295,512,16,5
1296,513,28,3
1297,514,19,2
1298,514,2,3
1299,515,29,2
1300,515,23,1
1301,515,5,3
1302,515,12,3
1303,516,21,3
1304,516,30,3
1305,516,12,5
1306,516,2,1
1307,517,25,2
1308,517,21,1
1309,518,18,3
1310,518,11,3
1311,519,22,1
1312,519,23,5
1313,519,12,5
1314,520,27,2
1315,520,5,5
1316,520,1,3
1317,521,25,3
1318,521,16,2
1319,521,14,1
1320,522,5,2
1321,522,17,2
1322,523,14,4
1323,524,4,2
1324,525,16,3
1325,526,23,4
1326,526,12,5
1327,526,5,5
1328,527,6,1
1329,527,23,1
1330,527,10,2
1331,528,28,2
1332,528,23,2
1333,529,5,4
1334,529,7,1
1335,529,3,1
1336,530,25,4
1337,531,2,5
1338,531,7,5
1339,531,4,1
1340,531,26,4
1341,532,30,3
1342,533,3,3
1343,534,25,1
1344,535,30,5
1345,536,19,2
1346,536,29,2
1347,537,1,3
1348,537,3,5
1349,537,5,3
1350,538,6,5
1351,538,28,2
1352,538,17,5
1353,539,4,5
1354,540,17,2
1355,541,10,5
1356,541,6,1
1357,542,30,2
1358,543,12,4
1359,543,23,1
1360,543,19,2
1361,543,6,3
1362,544,14,4
1363,544,7,1
1364,544,17,3
1365,544,8,1
1366,545,4,3
1367,545,17,3
1368,545,5,5
1369,545,16,1
1370,546,11,4
1371,547,13,3
1372,548,20,4
1373,548,24,2
1374,548,10,5
1375,548,22,4
1376,549,28,1
1377,549,14,4
1378,549,7,3
1379,550,1,4
1380,550,22,1
1381,551,15,1
1382,551,17,2
1383,551,22,4
1384,551,3,4
1385,552,24,2
1386,553,12,2
1387,554,7,4
1388,554,20,1
1389,554,28,2
1390,555,24,5
1391,555,16,5
1392,555,9,3
1393,555,25,4
1394,556,16,4
1395,556,22,4
1396,556,20,5
1397,557,5,1
1398,557,25,1
1399,557,15,3
1400,558,16,1
1401,558,8,1
1402,558,21,1
1403,558,5,1
1404,559,22,5
1405,559,1,3
1406,559,6,2
1407,559,13,3
1408,560,25,1
1409,561,26,4
1410,561,15,4
1411,561,7,5
1412,561,10,3
1413,562,26,5
1414,562,28,1
1415,562,18,1
1416,563,29,4
1417,563,30,3
1418,563,4,4
1419,563,13,4
1420,564,2,3
1421,564,6,2
1422,564,18,4
1423,564,22,4
1424,565,10,4
1425,565,23,4
1426,566,19,4
1427,567,16,5
1428,567,18,1
1429,567,28,4
1430,567,6,3
1431,568,19,3
1432,568,13,3
1433,568,20,3
1434,568,22,1
1435,569,19,1
1436,570,27,3
1437,570,12,5
1438,571,25,3
1439,572,4,2
1440,572,14,2
1441,572,12,2
1442,572,2,3
1443,573,30,1
1444,574,4,1
1445,574,11,5
1446,574,6,3
1447,575,15,4
1448,576,9,5
1449,576,1,1
1450,576,23,3
1451,576,16,4
1452,577,11,4
1453,577,19,1
1454,577,4,2
1455,577,26,3
1456,578,17,3
1457,578,26,2
1458,578,25,5
1459,578,22,3
1460,579,14,1
1461,579,7,5
1462,579,16,2
1463,580,9,5
1464,580,2,4
1465,580,10,2
1466,581,23,5
1467,582,19,3
1468,583,3,5
1469,583,19,4
1470,583,26,4
1471,584,12,1
1472,584,26,3
1473,585,14,3
1474,585,22,2
1475,585,18,4
1476,586,9,5
1477,586,20,2
1478,586,17,1
1479,586,15,5
1480,587,19,2
1481,587,16,4
1482,588,30,5
1483,588,21,4
1484,588,18,5
1485,589,17,2
1486,590,15,2
1487,590,5,3
1488,590,8,4
1489,591,11,1
1490,591,28,2
1491,591,27,4
1492,591,30,3
1493,592,21,5
1494,592,6,2
1495,592,9,4
1496,593,4,2
1497,593,5,1
1498,594,26,3
1499,594,27,4
1500,595,18,1
1501,595,14,2
1502,595,21,2
1503,595,29,3
1504,596,1,3
1505,596,9,5
1506,597,21,1
1507,597,28,4
1508,598,2,1
1509,599,20,1
1510,599,10,4
1511,599,28,3
1512,600,13,2
1513,601,4,5
1514,601,19,1
1515,602,16,2
1516,602,29,5
1517,602,3,1
1518,603,11,4
1519,603,27,2
1520,603,19,4
1521,604,5,2
1522,604,4,2
1523,605,15,5
1524,605,14,1
1525,605,9,4
1526,606,23,5
1527,606,4,4
1528,606,11,4
1529,607,9,2
1530,607,29,3
1531,608,23,1
1532,608,12,5
1533,608,27,1
1534,608,10,1
1535,609,9,4
1536,609,18,3
1537,610,29,1
1538,610,26,5
1539,610,22,2
1540,611,13,3
1541,611,1,1
1542,611,30,2
1543,611,9,3
1544,612,28,2
1545,612,29,4
1546,613,29,4
1547,613,26,1
1548,613,25,3
1549,614,27,4
1550,615,24,3
1551,615,14,4
1552,615,30,1
1553,615,27,2
1554,616,17,4
1555,616,3,5
1556,616,12,5
1557,617,15,1
1558,617,23,2
1559,617,1,4
1560,618,1,2
1561,618,13,3
1562,619,19,2
1563,619,3,2
1564,619,4,5
1565,620,28,4
1566,620,20,3
1567,621,16,3
1568,621,28,2
1569,621,24,5
1570,621,5,3
1571,622,7,3
1572,622,3,2
1573,622,14,4
1574,623,27,1
1575,623,29,1
1576,623,19,5
1577,623,8,5
1578,624,30,4
1579,624,3,2
1580,625,23,1
1581,625,28,4
1582,625,6,5
1583,626,20,3
1584,626,9,2
1585,626,5,5
1586,626,3,1
1587,627,23,5
1588,628,25,4
1589,628,30,1
1590,628,15,2
1591,628,27,2
1592,629,28,3
1593,629,27,3
1594,630,13,2
1595,630,5,5
1596,630,14,2
1597,630,28,3
1598,631,14,4
1599,631,6,2
1600,632,10,3
1601,633,20,2
1602,633,15,3
1603,634,3,3
1604,634,1,4
1605,634,16,2
1606,634,5,4
1607,635,24,1
1608,635,20,5
1609,635,9,1
1610,635,3,1
1611,636,30,3
1612,636,8,5
1613,636,16,5
1614,637,1,3
1615,638,10,2
1616,638,13,5
1617,638,22,1
1618,638,12,5
1619,639,9,5
1620,639,6,4
1621,640,29,1
1622,640,15,3
1623,640,5,5
1624,641,5,1
1625,641,9,2
1626,641,4,4
1627,641,11,3
1628,642,30,3
1629,642,14,5
1630,642,10,3
1631,643,14,3
1632,643,29,4
1633,643,6,2
1634,644,2,2
1635,644,7,1
1636,644,5,4
1637,644,8,3
1638,645,23,4
1639,645,15,1
1640,646,2,5
1641,646,15,4
1642,646,12,4
1643,646,23,4
1644,647,28,2
1645,648,12,1
1646,649,28,2
1647,649,10,2
1648,650,19,5
1649,650,29,2
1650,650,22,5
1651,651,17,5
1652,652,14,1
1653,652,30,2
1654,653,22,1
1655,653,4,3
1656,653,29,1
1657,653,11,4
1658,654,19,3
1659,654,30,2
1660,654,4,1
1661,655,15,4
1662,656,21,1
